id,value
Faggio,28
Cerro,12
Platano comune,20
Tiglio intermedio,25
Tiglio intermedio,32
Tiglio selvatico,6
Tiglio selvatico,10
Platano occidentale,40
Frassino maggiore,19
Platano comune,18
Platano comune,15
Tiglio selvatico,12
Albero della canfora,25
Cedro del Libano,30
Olea europaea,15
Platano comune,30
Cedro del Libano,18
Eucalitto rostrato,25
Palma gigante del Cile,16
Platano orientale,18
Platano orientale,18
Platano orientale,18
Cedro del Libano,18
Albero della canfora,20
Platano orientale,25
Cinnamomun camphora,30
Platanus orientalis,25
Podocarpo,25
Pino domestico,20
Platano orientale,18
Platano orientale,8
Sofora,5
Platano orientale,10
Ciliegio selvatico,22
Olivo,6
Cipresso comune,18
Cipresso comune,18
Cipresso,10
Cipresso,10
Platano,10
Tiglio nostrale,15
Roverella,15
Tasso,12
Pino domestico,20
Cedro dell'Himalaya,18
Rovere,16
Albero dei tulipani,18
Auracaria del Cile,25
Casuarina,15
Tasso,12
Cipresso comune,16
Leccio,7
Glicine,15
Platano,35
Quercia,20
Castagno,15
Platano,20
Carpino,15
Roverella,15
Roverella,16
Leccio,12
Pino di Aleppo,22
Tasso,8
Leccio,11
Cipresso,10
Platano,4
Pino di Aleppo,16
Pino di Aleppo,16
Tiglio,6
Cerro,22
Cipresso,18
Cipresso,15
Cipresso,18
Platano,25
Leccio,6
Platano,30
Platano,12
Platano,15
Magnolia,9
Olivo,10
Gelso,6
Faggio,18
Faggio,22
Faggio,20
Faggio,22
Eucalipto,20
Tiglio,6
Sughera,10
Gelso da carta,8
Alloro,6
Frassino,10
Roverella,20
Gelso,4
Cerro,12
Platano,37
Platano,30
Rovere,12
Olivo,25
Tiglio,5
Cedro,15
Faggio,25
Olivo,15
Olivo,13
Tiglio,15
Platano,16
Tiglio,18
Quercia,20
Rovere,12
Gelso,3
Cerro,21
Cerro,27
Cerza,18
Cedro del Libano,18
Tiglio,12
Canfora,15
Yucca,6
Ficus magnolioide,20
Palma delle Canarie,12
Podocarpo,15
Tipuana,14
Canfora,25
Castagno,10
Leccio,15
Leccio,15
Leccio,13
Pino domestico,15
Araucaria,30
Ginkgo,25
Magnolia,18
Palma delle Canarie,22
Pino domestico,24
Olivo,10
Olivo,8
